,0,1,2,3,4,5,6
Name,PT_Revubue 2 (Rev 2/01),WTP gate cnr1,Mugica dam road,Chimoio 2ML Reservoir,PT_Nicoadala F5,PT1_Pemba - Breidge Paquite,PT_ Dumping Site
descriptio,Note: null,Note: null,Note: null,Note: null,Note: null,Note: null,Note: null
province,Tete,Tete,Nampula,Nampula,Zambezia,Cabo Delgado,Cabo Delgado
geometry,POINT Z (33.6516262963414 -16.1180719828059 0),POINT Z (33.5827223584056 -16.159100633089 0),POINT Z (39.95630543679 -14.7901714319557 0),POINT Z (36.776066198945 -14.9300485506435 0),POINT Z (36.7950773611665 -17.5612834525065 0),POINT Z (40.4870867729187 -12.9631914362067 0),POINT Z (40.4948353394866 -13.079734967469 0)
climatology-hd40-annual-mean_era_1991-2020,7.020000457763672,7.350000381469727,0.0,0.0,2.950000047683716,0.0,0.0
climatology-tasmax-annual-mean_era_1991-2020,31.25,31.529998779296875,29.69499969482422,27.93000030517578,30.315000534057617,28.4424991607666,28.4424991607666
climatology-tas-annual-mean_era_1991-2020,25.825000762939453,26.190000534057617,24.299999237060547,22.689998626708984,24.829999923706055,25.497499465942383,25.497499465942383
climatology-tasmax-annual-mean_cru_1991-2020,31.8700008392334,32.45500183105469,29.96500015258789,29.689998626708984,30.795000076293945,30.64999771118164,30.64999771118164
climatology-hd40_2020-2039_ssp245_median,15.0,19.25,0.0,0.15000000596046448,2.5250000953674316,0.0,0.0
climatology-hd40_2020-2039_ssp245_p10,2.799999952316284,4.525000095367432,0.0,0.0,0.0,0.0,0.0
climatology-hd40_2020-2039_ssp245_p90,37.79999923706055,40.54999923706055,0.10000000149011612,6.5,8.725000381469727,0.02500000037252903,0.02500000037252903
climatology-hd40_2020-2039_ssp370_median,15.0,19.149999618530273,0.0,0.3499999940395355,2.424999952316284,0.0,0.0
climatology-hd40_2020-2039_ssp370_p10,8.649999618530273,11.424999237060547,0.0,0.0,0.02500000037252903,0.0,0.0
climatology-hd40_2020-2039_ssp370_p90,26.299999237060547,30.524999618530273,0.20000000298023224,6.099999904632568,7.199999809265137,0.0,0.0
anomaly-hd40_2020-2039_ssp245_median,6.25,8.274999618530273,0.0,0.10000000149011612,1.7000000476837158,0.0,0.0
anomaly-hd40_2020-2039_ssp370_median,6.25,8.175000190734863,0.0,0.30000001192092896,1.600000023841858,0.0,0.0
anomaly-txx_2020-2039_ssp245_median,0.6299999952316284,0.6449999809265137,0.6299999952316284,0.6899999976158142,0.4399999976158142,0.5449999570846558,0.5449999570846558
anomaly-txx_2020-2039_ssp245_p10,-1.190000057220459,-1.130000114440918,-0.2199999988079071,-0.6899999976158142,-0.8300000429153442,-0.02499999850988388,-0.02499999850988388
anomaly-txx_2020-2039_ssp245_p90,1.8899999856948853,1.875,1.3300000429153442,1.3200000524520874,1.4900000095367432,1.0350000858306885,1.0350000858306885
anomaly-txx_2020-2039_ssp370_median,0.6000000238418579,0.6299999952316284,0.7799999713897705,0.5799999833106995,0.5399999618530273,0.5399999618530273,0.5399999618530273
anomaly-txx_2020-2039_ssp370_p10,-0.10999999940395355,-0.019999999552965164,-0.009999999776482582,-0.10999999940395355,-0.22499999403953552,0.030000008642673492,0.030000008642673492
anomaly-txx_2020-2039_ssp370_p90,1.7999999523162842,1.8650000095367432,1.25,1.3200000524520874,1.5399999618530273,1.0399999618530273,1.0399999618530273
anomaly-txx_2040-2059_ssp245_median,1.4199999570846558,1.4249999523162842,1.2000000476837158,1.1799999475479126,1.125,1.0499999523162842,1.0499999523162842
anomaly-txx_2040-2059_ssp245_p10,0.03999999910593033,0.054999999701976776,0.4099999964237213,0.07999999821186066,-0.14000000059604645,0.42000001668930054,0.42000001668930054
anomaly-txx_2040-2059_ssp245_p90,2.7699999809265137,2.7750000953674316,1.9600000381469727,2.569999933242798,2.4099998474121094,1.6800000667572021,1.6800000667572021
